"#","Registration No / Notification No","Product Name","Holder"
"1","MAL13025037ACZ","Gridokline Tablets 75mg","THE ZYFAS MEDICAL CO.,"
"2","MAL11035010AZ","GOUTNOR 0.5MG TABLET","Noripharma Sdn. Bhd."
"3","MAL11055001AZ","NASONIDE Nasal Spray 55mcg/dose","HOE PHARMACEUTICALS SDN. BHD."
"4","MAL15045057AZ","Azithromycin film-coated tablets 500mg Lesvi Lab","ZIWELL MEDICAL SDN BHD"
"5","MAL11035022T","AB SPIRULINA TABLET","ORIENT LABORATORIES SDN. BHD."
"6","MAL12065064AZ","Flucor Day PE Soft Gelatin Capsule","HOVID BERHAD"
"7","MAL11035012N","PROTEXIN Bio-Kult","Vortexin Sdn Bhd"
"8","MAL12035009X","Maalox oral suspension in sachet","DKSH MALAYSIA SDN BHD"
"9","MAL12115050AZ","Hovid Alendronate 70mg Tablet","HOVID BERHAD"
"10","MAL11035004TC","Ligno Tiger Milk Mushroom","THE ORIGIN FOODS SDN BHD"
"11","MAL12045002AZ","DIMAX MR TABLETS 30MG","AVERROES PHARMACEUTICALS SDN. BHD."
"12","MAL11015002N","USANA PROFLAVANOL C TABLET","UHS ESSENTIAL HEALTH (MALAYSIA) SDN. BHD."
"13","MAL11115006AZ","SOBENZ LOZENGE (ORANGE)","Duopharma Marketing Sdn. Bhd."
"14","MAL12025004TC","J-Flex","Eternal Wellness Sdn Bhd"
"15","MAL11095001AZ","IPRANEB 500 (Ipratropium Bromide 500mcg/2mL Nebuliser Solution BP)","AIN MEDICARE SDN. BHD."
"16","MAL11085015T","Shedan Chenpi San","SINMA MEDICAL HOLDING SDN.BHD."
"17","MAL12115032T","Yin Qiao San Extract Granules 'Sun Ten'","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"18","MAL15015046AZ","Tapicin Powder For Injection 4.5g","Y.S.P. INDUSTRIES (M) SDN BHD"
"19","MAL11075003AZ","Promezine Syrup 1mg/ml.","Y.S.P. INDUSTRIES (M) SDN BHD"
"20","MAL11065014T","Tradi Pimple Cream","IE Lab Traditional Sdn Bhd"
"21","MAL12055060T","Jiawei Yinqiao Tablet","J.D. ACADEMY"
"22","MAL11115007AZ","SOBENZ LOZENGE (MELON)","Duopharma Marketing Sdn. Bhd."
"23","MAL16025030AZ","Cefim Powder for Injection 0.5g","Y.S.P. INDUSTRIES (M) SDN BHD"
"24","MAL11125044T","Zheng Ren Shen Chang Cao Plus Gao","PEMBEKALAN UBAT HUATHAI SDN. BHD."
"25","MAL11085001AZ","AIRLUKAST TABLETS 10 mg","RANBAXY (MALAYSIA) SDN. BHD."
"26","MAL15045058AZ","Azithromycin Powder For Oral Suspension 200mg/5ml Lesvi Lab","ZIWELL MEDICAL SDN BHD"
"27","MAL11115019AZ","RIMONID Ophthalmic Solution 0.2%","Gopharma Sdn. Bhd."
"28","MAL13045022T","Curb n` Beauty Capsule","Bioalpha International Sdn. Bhd."
"29","MAL12095065AZ","Stritoxol Paclitaxel Concentrate For Solution For Infusion 6 mg/ mL","MYLAN HEALTHCARE SDN. BHD."
"30","MAL11045012AZ","FENO-TG 160mg tablet","UNIMED SDN BHD"
"31","MAL11095002AZ","Conpanzole Enteric Coated Tablet 20mg","Y.S.P. INDUSTRIES (M) SDN BHD"
"32","MAL11105001AZ","Flutinide Nasal Spray 50mcg/dose","HOE PHARMACEUTICALS SDN. BHD."
"33","MAL11095003AZ","Conpanzole Enteric Coated Tablet 40mg","Y.S.P. INDUSTRIES (M) SDN BHD"
"34","MAL11035011AZ","GOUTNOR 0.6MG TABLET","Noripharma Sdn. Bhd."
"35","MAL14055010AZ","Clarem Film-Coated Tablet 500 mg","EUCOGEN SDN BHD"
"36","MAL12065067AZ","Clopine 50mg/ml oral suspension","SCHMIDT BIOMEDTECH SDN BHD"
"37","MAL12015002AZ","GPO-L-One Tablet 500mg","IMEKS PHARMA SDN. BHD."
"38","MAL11055010T","ONE MB Capsule 400mg","SERI MH UMMI SDN BHD"
"39","MAL12045005AZ","Posicaine 200 (Articaine Hydrochloride 4% with Epinephrine/Adrenaline 1:200,000 Injection)","Galla Dental Corporation Sdn Bhd"
"40","MAL11065007TC","JAMU RAHSIA KAPSUL RESDUNG 400mg","SABIT BANANI INDUSTRIES SDN BHD"
"41","MAL14125063AZ","CEFMEX 500MG POWDER FOR INJECTION","DUOPHARMA (M) SDN. BHD."
"42","MAL14125064AZ","CEFMEX 1G POWDER FOR INJECTION","DUOPHARMA (M) SDN. BHD."
"43","MAL11075018T","Man Forte Capsule","Bioalpha International Sdn. Bhd."
"44","MAL12065068AZ","ZOVILAM Tablets 150mg/300mg","PAHANG PHARMACY SDN. BHD."
"45","MAL11055022TC","Herbal Farm Tri-Plex Capsule","Herbal Farm"
"46","MAL12025008T","Chap Kucing Minyak Kilat Urut","PEMBEKALAN UBAT HUATHAI SDN. BHD."
"47","MAL11035006T","Apotec Total Women Capsule","Bioalpha International Sdn. Bhd."
"48","MAL12035015T","LIONBALL MENSTRUAL POWDER","NANG HIN MEDICAL SDN. BHD."
"49","MAL11085002AZ","DICLOTROY EC tablet 50mg","UNIMED SDN BHD"
"50","MAL12085058AZ","HuMoG   150IU Powder for Injection","Firstline Pharmaceuticals Sdn Bhd"
"51","MAL11085024T","Shedan Chuanbei San","SINMA MEDICAL HOLDING SDN.BHD."
"52","MAL12055066TC","Nivaranii Herbal Honey","Star Medicinal Sdn.bhd."
"53","MAL12055067TC","activQi MPWR-1 Chewable Tablet","ACTIVQI SDN BHD"
"54","MAL11035018NCZ","NATURE'S WAY Vitamin C 500mg Tablet?s","PharmaCare (Asia) Sdn Bhd"
"55","MAL11045011X","ZELLOX-II LIQUID ANTACID","HOE PHARMACEUTICALS SDN. BHD."
"56","MAL11075020TC","KAPSUL FRAPI ADAM 400mg","FURQON TERAPI"
"57","MAL10125002T","Hurix's Cordyceps Capsule","J.B. PHARMACY GROUP SDN. BHD."
"58","MAL11035013N","Urosulf","AV MANUFACTURING SDN.BHD"
"59","MAL11075021TC","KAPSUL FRAPI HAWA 400mg","FURQON TERAPI"
"60","MAL11095004AZ","Desud Plus 8mg/2mg Sublingual Tablets","Medicell Pharmaceutical(malaysia) Sdn.bhd"
"61","MAL12055017AZ","Foliculin Injection 150IU (Urofollitropin for injection BP-Freeze Dried)","Firstline Pharmaceuticals Sdn Bhd"
"62","MAL11065008TC","KAPSUL FRAPI ARAF 400mg","FURQON TERAPI"
"63","MAL12095096XZ","Gamma Benzene Hexachloride Lotion USP 1% w/v (LICSCAB Lotion)","UNIMED SDN BHD"
"64","MAL11015004T","GKB Cordyceps Sinensis 344.75mg Chewable Tablet","GK BIO INTERNATIONAL SDN. BHD."
"65","MAL12045004ACZ","Clavomax 625mg Tablet","Abio Marketing Sdn Bhd"
"66","MAL12035023TC","AllerOff Capsule","Nano Medic Care Sdn. Bhd."
"67","MAL12055070T","GINPLUS CAPSULE","DYNAPHARM HERBAL (M) SDN. BHD."
"68","MAL11125006AZ","Diabetmin 250mg Film-Coated Tablet","HOVID BERHAD"
"69","MAL11115010AZ","AntiPlatt 75mg Tablet USP (Clopidogrel 75mg USP)","UNIMED SDN BHD"
"70","MAL15065029ACZ","Bicalox film coated tablet 50mg","SCHMIDT BIOMEDTECH SDN BHD"
"71","MAL11115035TC","Decof Syrup","Alpha Bio Medic (M) Sdn Bhd"
"72","MAL12065037TC","activQi UNIQSKIN Chewable Tablet","ACTIVQI SDN BHD"
"73","MAL11035023T","apotec Immu Activ-Plus Capsule","Bioalpha International Sdn. Bhd."
"74","MAL13055055AZ","LAMOTRIGINE NORMON 50 mg CHEWABLE DISPERSIBLE TABLETS","HEALOL PHARMACEUTICALS SDN. BHD."
"75","MAL12055019AZ","Taxotere 20mg/1ml concentrate for solution for infusion","SANOFI-AVENTIS (MALAYSIA) SDN. BHD."
"76","MAL11115036T","GKB Z-Well Capsule","GK BIO INTERNATIONAL SDN. BHD."
"77","MAL14015025T","B-Red Yeast Rice Plus Capsule","Bioalpha International Sdn. Bhd."
"78","MAL15045076XRZ","Nicorette icy mint 2 mg gum","JOHNSON & JOHNSON SDN BHD"
"79","MAL12015005X","Appeton Essentials Glucosamine 500 + Chondroitin 400 Tablet","KOTRA PHARMA (M) SDN. BHD."
"80","MAL12075069ACZ","Lukakline Tablets 10mg","THE ZYFAS MEDICAL CO.,"
"81","MAL15045059XRZ","Nicorette icy mint 4 mg gum","JOHNSON & JOHNSON SDN BHD"
"82","MAL15085003ARZ","Apo-Atorvastatin 20mg Tablet","PHARMAFORTE (MALAYSIA) SDN. BHD."
"83","MAL14035008XCZ","Nicorette Invisi Transdermal Patch 15mg/16 hours","JOHNSON & JOHNSON SDN BHD"
"84","MAL11035008T","Sweet-duce Capsule","Bioalpha International Sdn. Bhd."
"85","MAL11125055T","Medi-Botanica Pueraria Mirifica 100mg Plus","CAMERON BIOSCIENCE (M) SDN BHD"
"86","MAL11075012NC","Herbalife Calcium Plus  Tablet","HERBALIFE PRODUCTS MALAYSIA SDN BHD"
"87","MAL11105028N","BIO-MARINE PLUS","PHARMA NORD SDN. BHD."
"88","MAL11055014TC","KB ARCTIUM CAPSULE","KIN BIO GLOBAL SDN BHD"
"89","MAL11095046NCR","Nutriforte Fish Oil 1000mg Softgels","PHARMAFORTE (MALAYSIA) SDN. BHD."
"90","MAL11125046TC","KB RED RASPBERRY CAPSULE","KIN BIO GLOBAL SDN BHD"
"91","MAL12045016ACZ","Niferin SR 30mg Tablet","Abio Marketing Sdn Bhd"
"92","MAL11075027T","B-Multi Mushroom Capsule","Bioalpha International Sdn. Bhd."
"93","MAL11055018TC","LiveGrapeseed Vcap","DYNAMIC NUTRITION SDN BHD"
"94","MAL11095006X","Germisep Sanitizer Solution 75% v/v","HOVID BERHAD"
"95","MAL12045024NC","CALCAP","MEGA LIFESCIENCES SDN. BHD."
"96","MAL14035009XCZ","Nicorette Invisi Transdermal Patch 25mg/16 hours","JOHNSON & JOHNSON SDN BHD"
"97","MAL11055006NCR","Nutriforte Fish Oil DS 1200mg Softgels","PHARMAFORTE (MALAYSIA) SDN. BHD."
"98","MAL11125058TC","LU COMPLEX CAPSULE","KIN BIO GLOBAL SDN BHD"
"99","MAL11125059T","JT Gent Capsule","Jin Teik Organic Health Food Sdn Bhd"
"100","MAL11085017T","Gynita NatureCare Evening Primrose Oil 1000mg","LONNIX (M) SDN. BHD."
"101","MAL12045017AZ","Isocaine HCL Inj 3%","Galla Dental Corporation Sdn Bhd"
"102","MAL11085030T","GNC Herbal Plus Rhodiola Extract 340mg Capsule","ONI Global (Malaysia) Sdn Bhd"
"103","MAL12025016TC","K Plus Capsule","KIN BIO GLOBAL SDN BHD"
"104","MAL11125007AZ","STARVAL TABLETS 80 mg","RANBAXY (MALAYSIA) SDN. BHD."
"105","MAL12025017T","Fengshi Antai Tablet","TONGHUA DONG BAO (M) SDN. BHD."
"106","MAL12025075AZ","RESOLOR 1mg Film Coated Tablets","JOHNSON & JOHNSON SDN BHD"
"107","MAL11095027TCR","VitaHealth Ezilax","VITAHEALTH BIOTECH SDN BHD"
"108","MAL12035057N","Seven Seas Iron Plus Syrup","PROCTER & GAMBLE (MALAYSIA ) SDN.BHD."
"109","MAL11125008AZ","STARVAL TABLETS 160 mg","RANBAXY (MALAYSIA) SDN. BHD."
"110","MAL13125001N","SEVEN SEAS Iron & Folic Acid Infants Drops","PROCTER & GAMBLE (MALAYSIA ) SDN.BHD."
"111","MAL14025007AZ","SETAMOL PLUS FILM-COATED TABLET","HOVID BERHAD"
"112","MAL11045008NCR","MegaLive Omega 600/300, enteric coated softgel capsules","MegaLive BioSciences Sdn Bhd"
"113","MAL11045009NCR","MegaLive Lavie Sheep Placenta Plus Enteric-Coated Softgel","MegaLive BioSciences Sdn Bhd"
"114","MAL11115042T","Herbs Misai Kuching Tea 3g","EASY PLUS PHARMACEUTICAL (M) SDN. BHD."
"115","MAL11075028TC","BIO SPEKTRA NIMBA PLUS CAPSULE","AK PHARMACY & NATUROPATHY CENTER"
"116","MAL11125061T","EU YAN SANG GOLD LABEL BAK FOONG PILLS (SMALL PILLS)","WENG LI SDN BHD"
"117","MAL11085020TC","Homesave Pearl Shine 320mg Capsule","HOE HONG NUTRITION SDN BHD"
"118","MAL11125062T","Tian Wang Bu Xin Sleep Lax","MAH TAI CHINESE MEDICINE REFINERY"
"119","MAL11125063TC","BIO SPEKTRA INJI PLUS CAPSULE","AK PHARMACY & NATUROPATHY CENTER"
"120","MAL11115008AZ","STARVAL HCT TABLETS 80 + 12.5 mg","RANBAXY (MALAYSIA) SDN. BHD."
"121","MAL11115009AZ","STARVAL HCT TABLETS 160 + 25 mg","RANBAXY (MALAYSIA) SDN. BHD."
"122","MAL11075030TC","Bio Spektra Simpaal Capsule 250mg","AK PHARMACY & NATUROPATHY CENTER"
"123","MAL11125009AZ","Aremed 1mg Film-coated Tablet","EUCOGEN SDN BHD"
"124","MAL15085004AZ","Apo-Atorvastatin 40mg Tablet","PHARMAFORTE (MALAYSIA) SDN. BHD."
"125","MAL12035058NC","4Life Probiotics","Forlife Research Imports Sdn Bhd"
"126","MAL12075073AZ","Irbel Tablets 150 mg","RANBAXY (MALAYSIA) SDN. BHD."
"127","MAL12075074AZ","Irbel Tablets 300 mg","RANBAXY (MALAYSIA) SDN. BHD."
"128","MAL13065053AZ","Viraday Tablets (Tenofovir Disoproxil Fumarate 300mg + Emtricitabine 200mg + Efavirenz 600 mg)","CIPLA MALAYSIA SDN BHD"
"129","MAL15095019ACZ","Ultiva Injection 1mg","Aspen Medical Products Malaysia Sdn Bhd"
"130","MAL12055018ACZ","Clovix 75mg Tablet","Abio Marketing Sdn Bhd"
"131","MAL12045008AZ","SALBUNEB (SALBUTAMOL 2.5mg/2.5mL NEBULISER SOLUTION)","AIN MEDICARE SDN. BHD."
"132","MAL12055036X","Flexijoint  plus MSM Tablet","WINWA MEDICAL SDN. BHD."
"133","MAL15085005AZ","Apo-Atorvastatin 80mg Tablet","PHARMAFORTE (MALAYSIA) SDN. BHD."
"134","MAL11075006X","Tefin Gel 1% w/w","HOE PHARMACEUTICALS SDN. BHD."
"135","MAL12065066AZ","LETROTAS 2.5MG TABLET","JETPHARMA SDN. BHD."
"136","MAL12115054ACZ","Gluvecron MR 30 mg Tablet","Abio Marketing Sdn Bhd"
"137","MAL12095070ACZ","Zosaar 50 mg Tablet","Abio Marketing Sdn Bhd"
"138","MAL12045070T","HPA PUERARIA","HPA INDUSTRIES SDN. BHD."
"139","MAL12015025T","Gunung Salji Herbal Medicated Oil","PEMBEKALAN UBAT HUATHAI SDN. BHD."
"140","MAL11095031T","JT Lady","Jin Teik Organic Health Food Sdn Bhd"
"141","MAL12055028AZ","Montelair 5mg Chewable Tablet","HOVID BERHAD"
"142","MAL12025053AZ","Salic Ointment","AVERROES PHARMACEUTICALS SDN. BHD."
"143","MAL12035002AZ","Betalin Cream 0.05%w/w","AVERROES PHARMACEUTICALS SDN. BHD."
"144","MAL12115071ARZ","Ozurdex 700 micrograms intravitreal implant in applicator","Allergan Malaysia Sdn Bhd"
"145","MAL11095032TC","ActiPlus 100","Nuhealth (M) Sdn. Bhd."
"146","MAL11085021TC","KAPSUL ZEMORR EM 400MG","RAHSIA PUSAKA MELAYU"
"147","MAL11075026TC","BIO SPEKTRA QAMA'S CAPSULE","AK PHARMACY & NATUROPATHY CENTER"
"148","MAL12055029AZ","Octocaine 100 (Lidocaine HCl 2% and Epinephrine (Adrenaline) 1:100,000 Injection)","Galla Dental Corporation Sdn Bhd"
"149","MAL11125064TC","BeeMed Green Propolis","HEBAMED SDN. BHD."
"150","MAL12035024TC","Conforer Global Bee Queen Jelly Capsule","CONFORER MEDI-CARE  ENTERPRISE"
"151","MAL11095028TC","Century Tea Jiaogulan Plus","Nuhealth (M) Sdn. Bhd."
"152","MAL11095029TC","Century Tea Relief 100","Nuhealth (M) Sdn. Bhd."
"153","MAL12055081T","Nature's Green Gentiana Combination Tablets","Tong Jum Chew (m) Sdn. Bhd."
"154","MAL11115004AZ","Kombiglyze XR Tablet 5/1000mg","ASTRAZENECA SDN. BHD."
"155","MAL11105013T","Nature's Green Xian Fang Huo Ming Tablets","Tong Jum Chew (m) Sdn. Bhd."
"156","MAL12045072T","Zhuifeng Tieh Ta Wan","NANG HIN MEDICAL SDN. BHD."
"157","MAL13015014TC","CSL FLUCLEAR TEA","Gab Sdn Bhd"
"158","MAL12115034TC","K-HERBS Gamat Plus Liquid","Kbf Network Sdn Bhd"
"159","MAL11075032T","Gastrodia and Uncaria Plus Tablets","Tong Jum Chew (m) Sdn. Bhd."
"160","MAL14055162AZ","OLENZA ORODISPERSIBLE TABLET 10MG","Noripharma Sdn. Bhd."
"161","MAL11075033T","Nature`s Green Headache Tablets","Tong Jum Chew (m) Sdn. Bhd."
"162","MAL11085022T","Nature`s Green Shoulder Pain Capsules","Tong Jum Chew (m) Sdn. Bhd."
"163","MAL12065002TR","Fufang Danshen plus","Metro Signature Sdn Bhd"
"164","MAL15065046HA","HINAFLOR 300g/kg Granules","PAHANG PHARMACY SDN. BHD."
"165","MAL12125022TC","CSL BAO YING POWDER","Gab Sdn Bhd"
"166","MAL11055021TC","U-Pinex U-Aid Capsule","U-PIN MEDIC TRADING SDN. BHD."
"167","MAL13035046AZ","ARASID INJECTION BP 100MG/ML","ACCORD HEALTHCARE SDN.BHD."
"168","MAL12045020AZ","ALDRONA 70 (Alendronic acid Tablets 70 mg)","HEALOL PHARMACEUTICALS SDN. BHD."
"169","MAL12035079ACZ","Ella Tablet 30mg","HYPHENS PHARMA SDN. BHD."
"170","MAL12025021TC","U-Pinex U-Care Capsule","U-PIN MEDIC TRADING SDN. BHD."
"171","MAL11075007X","Hocodin Lozenge 250mcg","WINWA MEDICAL SDN. BHD."
"172","MAL12085064AZ","SARANTO 50 mg (Losartan Potassium Tablets 50 mg)","HEALOL PHARMACEUTICALS SDN. BHD."
"173","MAL12055082TC","Conforer Global Bee Pollen Granule","CONFORER MEDI-CARE  ENTERPRISE"
"174","MAL11125065TC","Herbalist Lok`s Series-A Capsule","Superior Response Sdn. Bhd."
"175","MAL12025082ACRZ","SIMPONI SOLUTION FOR INJECTION","JOHNSON & JOHNSON SDN BHD"
"176","MAL15085089TC","NewCo B'Lite Tea","TST HEALTH CARE SDN BHD"
"177","MAL14055163AZ","OLENZA ORODISPERSIBLE TABLET 5MG","Noripharma Sdn. Bhd."
"178","MAL11085006X","Laxstoo Oral Suspension 800mg/5ml","HOE PHARMACEUTICALS SDN. BHD."
"179","MAL11075035T","Jamu Diknaa PH Kapsul Wanita","SERI MH UMMI SDN BHD"
"180","MAL11075036T","PH Beauvineen Kapsul 400mg","SERI MH UMMI SDN BHD"
"181","MAL11085016T","Fitne Capsule 400mg","SERI MH UMMI SDN BHD"
"182","MAL11075037T","PH Kapsul Buasir 400mg","SERI MH UMMI SDN BHD"
"183","MAL12035019TC","StemFlo Capsule","Stemtech Malaysia Holdings Sdn Bhd"
"184","MAL15045089HAC","GENBAC-500","Noripharma Sdn. Bhd."
"185","MAL11105035N","NATURE`S BOUNTY Ester-C 1000mg with Bioflavonoids Plus tablets","NEWAGE SDN. BHD."
"186","MAL14035050ACZ","XINCLAV 1.2g (Amoxicillin and Clavulanate potassium for Injection 1.2 g)","HEALOL PHARMACEUTICALS SDN. BHD."
"187","MAL12015028TC","Gin Herbal Plus","Kbf Network Sdn Bhd"
"188","MAL13015036AZ","Zolpra GR Tablets 20 mg","RANBAXY (MALAYSIA) SDN. BHD."
"189","MAL13015037AZ","Zolpra GR Tablets 40 mg","RANBAXY (MALAYSIA) SDN. BHD."
"190","MAL12025054AZ","Betacylic Ointment","Y.S.P. INDUSTRIES (M) SDN BHD"
"191","MAL12065070AZ","Telfast 30mg/5ml Oral Suspension","DKSH MALAYSIA SDN BHD"
"192","MAL11125015AZ","Auroxetil 125 (Cefuroxime Axetil Tablets 125 mg)","HEALOL PHARMACEUTICALS SDN. BHD."
"193","MAL13115203AZ","Stadovas 5mg Tablet","STADPHARM SDN. BHD."
"194","MAL11095035TC","Herbalist Lok™s Series-B Capsule","Superior Response Sdn. Bhd."
"195","MAL11115045TC","Herbalist Lok`s Series-C Capsule","Superior Response Sdn. Bhd."
"196","MAL11125016AZ","Auroxetil 250 (Cefuroxime Axetil Tablets 250 mg)","HEALOL PHARMACEUTICALS SDN. BHD."
"197","MAL12085052AZ","Somatuline Autogel 60mg, prolonged-release solution for injection in a pre-filled syringe","ZUELLIG PHARMA SDN BHD"
"198","MAL12015029TC","Herbalist Lok`s Series-E Capsule","Superior Response Sdn. Bhd."
"199","MAL11125017AZ","Auroxetil 500 (Cefuroxime Axetil Tablets 500 mg)","HEALOL PHARMACEUTICALS SDN. BHD."
